SEP=;
active;ref.owner_id;ref.report_id;ref.state;ref.version;report.additional_notes;report.condition.abandoned_body_pits;report.condition.abandoned_egg_cavities;report.condition.accretion.0.storm_name;report.condition.accretion.0.timestamp_ms;report.condition.actively_record_events;report.condition.additional_hatch_timestamp_ms;report.condition.describe_control_methods;report.condition.disorientation;report.condition.eggs_damaged_by_another_turtle;report.condition.eggs_scattered_by_another;report.condition.eggs_scattered_by_another_timestamp_ms;report.condition.ghost_damage_10_or_less;report.condition.hatch_timestamp_ms;report.condition.inundated_event.0.storm_name;report.condition.inundated_event.0.timestamp_ms;report.condition.inundated_event.1.storm_name;report.condition.inundated_event.1.timestamp_ms;report.condition.inundated_event.2.storm_name;report.condition.inundated_event.2.timestamp_ms;report.condition.nest_depredated;report.condition.nest_dug_into;report.condition.nest_inundated;report.condition.nest_inundated_timestamp_ms;report.condition.no_digging;report.condition.partial_washout.storm_name;report.condition.partial_washout.timestamp_ms;report.condition.poached;report.condition.poached_eggs_removed;report.condition.poached_timestamp_ms;report.condition.post_hatch_washout;report.condition.preditation.0.number_of_eggs;report.condition.preditation.0.predator;report.condition.preditation.0.predator_spinner_text;report.condition.preditation.0.timestamp_ms;report.condition.prop_events_recorded;report.condition.roots_invaded_eggshells;report.condition.storm_impact.other_impact;report.condition.storm_impact.storm_name;report.condition.storm_impact.timestamp_ms;report.condition.vandalism_type;report.condition.vandalized;report.condition.vandalized_timestamp_ms;report.condition.wash_out.storm_name;report.condition.wash_out.timestamp_ms;report.condition.wash_over.0.storm_name;report.condition.wash_over.0.timestamp_ms;report.condition.wash_over.1.storm_name;report.condition.wash_over.1.timestamp_ms;report.condition.wash_over.10.storm_name;report.condition.wash_over.10.timestamp_ms;report.condition.wash_over.2.storm_name;report.condition.wash_over.2.timestamp_ms;report.condition.wash_over.3.storm_name;report.condition.wash_over.3.timestamp_ms;report.condition.wash_over.4.storm_name;report.condition.wash_over.4.timestamp_ms;report.condition.wash_over.5.storm_name;report.condition.wash_over.5.timestamp_ms;report.condition.wash_over.6.storm_name;report.condition.wash_over.6.timestamp_ms;report.condition.wash_over.7.storm_name;report.condition.wash_over.7.timestamp_ms;report.condition.wash_over.8.storm_name;report.condition.wash_over.8.timestamp_ms;report.condition.wash_over.9.storm_name;report.condition.wash_over.9.timestamp_ms;report.false_crawl_number;report.image.1;report.image.2;report.image.3;report.image.4;report.image.5;report.image.6;report.image.7;report.image.8;report.intervention.adopted;report.intervention.adoptee;report.intervention.excavation.dead_in_nest;report.intervention.excavation.dead_pipped;report.intervention.excavation.eggs_destroyed;report.intervention.excavation.excavated;report.intervention.excavation.failure_other;report.intervention.excavation.failure_reason;report.intervention.excavation.hatched_shells;report.intervention.excavation.live_in_nest;report.intervention.excavation.live_pipped;report.intervention.excavation.timestamp_ms;report.intervention.excavation.whole_unhatched;report.intervention.protection_event.reason;report.intervention.protection_event.timestamp_ms;report.intervention.protection_event.type;report.intervention.relocation.coordinates.lat;report.intervention.relocation.coordinates.long;report.intervention.relocation.eggs_destroyed;report.intervention.relocation.eggs_relocated;report.intervention.relocation.new_address;report.intervention.relocation.reason;report.intervention.relocation.timestamp_ms;report.intervention.relocation.was_relocated;report.location.apex_to_barrier_ft;report.location.apex_to_barrier_in;report.location.city;report.location.coordinates.lat;report.location.coordinates.long;report.location.details;report.location.escarpment_over_18_inches;report.location.in_cortez_groin_replacement_area;report.location.obstructions.escarpment;report.location.obstructions.furniture;report.location.obstructions.other;report.location.obstructions.seawall_rocks;report.location.placement;report.location.section;report.location.street_address;report.location.triangulation.north.lat;report.location.triangulation.north.long;report.location.triangulation.north_ft;report.location.triangulation.north_in;report.location.triangulation.south.lat;report.location.triangulation.south.long;report.location.triangulation.south_ft;report.location.triangulation.south_in;report.location.water_to_apex_ft;report.location.water_to_apex_in;report.nest_number;report.nest_seaward_of_armoring_structure;report.observers;report.possible_false_crawl;report.possible_false_crawl_number;report.species;report.species_other;report.status;report.timestamp_found_ms;report.type_of_structure;report.within_3_feet_of_structure
NO;section1@islandturtlewatch.com;71;ACTIVE;18;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;http://1-dot-static-sentinel-567.appspot.com/web/image/71/e6deb6b5-6eef-47ca-a5b8-48afb7ddda8f.jpg;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53675573;-82.7381481;;NO;NO;NO;NO;;YES;OPEN_BEACH;0;901 North Shore Blvd;0.0;0.0;0;0;0.0;0.0;0;0;9;0;0;NO;Karen;NO;0;LOGGERHEAD;;FALSE_CRAWL;1464148800000;;NO
NO;section1@islandturtlewatch.com;72;ACTIVE;12;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;1468728000000;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;http://1-dot-static-sentinel-567.appspot.com/web/image/72/0b38843d-d059-4e50-a0e8-f4d2e7968a05.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/72/9da141c5-89f3-471e-9cd1-c411c9baf00a.jpg;;;;;;;NO;;1;1;0;YES;;UNSET_REASON;91;0;0;1468900800000;1;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;10;0;AM;27.53268084;-82.73126786;;NO;NO;NO;NO;;NO;AT_VEGITATION;0;101 South Bay Blvd;0.0;0.0;0;0;0.0;0.0;0;0;34;0;1;NO;Ron;NO;0;LOGGERHEAD;;NEST_NOT_VERIFIED;1463976000000;;NO
NO;section1@islandturtlewatch.com;73;ACTIVE;15;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;Colin;1465185600000;;;;;;;;;;;;;;;;;;;;;0;http://1-dot-static-sentinel-567.appspot.com/web/image/73/37dabbf9-5e40-446a-888a-f8d345e7905b.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/73/05711933-467d-43fe-987b-dd01f8200c6c.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/73/5fcf746c-27f4-42fe-b13c-503a63d974ca.jpg;;;;;;NO;;0;0;0;YES;;UNSET_REASON;0;0;0;1470801600000;81;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;4;0;AM;27.53480354;-82.73495734;;NO;NO;NO;NO;;NO;OPEN_BEACH;0;309 North Bay Blvd ;0.0;0.0;0;0;0.0;0.0;0;0;12;0;2;NO;Christine;NO;0;LOGGERHEAD;;NEST_VERIFIED;1464321600000;;NO
NO;section1@islandturtlewatch.com;74;ACTIVE;26;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;Colin;1465185600000;;;;;;;;;;;;;;;;;;;;;0;http://1-dot-static-sentinel-567.appspot.com/web/image/74/540093bd-12aa-457b-b4f7-4874e0c7936a.jpg;http://1-dot-static-sentinel-567.appspot.com/web/image/74/4c7e8618-27ca-40a7-8d68-31681fb411a7.jpg;;;;;;;NO;;0;0;0;YES;;UNSET_REASON;0;0;0;1470628800000;114;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53109016;-82.72793856;;NO;NO;NO;NO;She climbed 8" rise to wooden landing, fell off landing into vegetation to nest.;YES;IN_VEGITATION;0;412 South Bay Blvd ;0.0;0.0;0;0;0.0;0.0;0;0;12;0;3;YES;LeeAnn;NO;0;LOGGERHEAD;;NEST_VERIFIED;1464580800000;Wooden step and landing.;YES
NO;section1@islandturtlewatch.com;75;ACTIVE;11;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53650309;-82.73796193;;NO;NO;NO;NO;;YES;UNSET_PLACEMENT;0;905 North Shore Blvd;0.0;0.0;0;0;0.0;0.0;0;0;9;0;0;NO;Christine;NO;0;LOGGERHEAD;;FALSE_CRAWL;1464321600000;;NO
NO;section1@islandturtlewatch.com;76;ACTIVE;10;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;3;http://1-dot-static-sentinel-567.appspot.com/web/image/76/9cec94ca-cc3d-4f21-9c60-b9e0df3247a6.jpg;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.53566609;-82.73644426;;YES;NO;YES;NO;;NO;AT_ESCARPMENT;0;409 North Bay Blvd;0.0;0.0;0;0;0.0;0.0;0;0;14;0;0;NO;;NO;0;LOGGERHEAD;;FALSE_CRAWL;1464753600000;;NO
NO;section1@islandturtlewatch.com;77;ACTIVE;1;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;http://1-dot-static-sentinel-567.appspot.com/web/image/77/470e533a-a5b7-405b-8ddc-f50e9bdaa226.jpg;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.5313112;-82.72834943;;NO;NO;NO;NO;;NO;UNSET_PLACEMENT;0;408 South Bay Blvd;0.0;0.0;0;0;0.0;0.0;0;0;24;0;4;YES;Karen;NO;0;LOGGERHEAD;;UNKNOWN;0;Large coral bolders;YES
NO;section1@islandturtlewatch.com;78;ACTIVE;1;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;http://1-dot-static-sentinel-567.appspot.com/web/image/78/470e533a-a5b7-405b-8ddc-f50e9bdaa226.jpg;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.5313112;-82.72834943;;NO;NO;NO;NO;;NO;UNSET_PLACEMENT;0;408 South Bay Blvd;0.0;0.0;0;0;0.0;0.0;0;0;24;0;4;YES;Karen;NO;0;LOGGERHEAD;;NEST_VERIFIED;1464753600000;Large coral bolders;YES
NO;section1@islandturtlewatch.com;79;ACTIVE;1;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;http://1-dot-static-sentinel-567.appspot.com/web/image/79/470e533a-a5b7-405b-8ddc-f50e9bdaa226.jpg;;;;;;;;NO;;0;0;0;NO;;UNSET_REASON;0;0;0;0;0;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;0;0;AM;27.5313112;-82.72834943;;NO;NO;NO;NO;;NO;UNSET_PLACEMENT;0;408 South Bay Blvd;0.0;0.0;0;0;0.0;0.0;0;0;24;0;4;YES;Karen;NO;0;LOGGERHEAD;;NEST_VERIFIED;1464753600000;Large coral bolders;YES
NO;section1@islandturtlewatch.com;80;ACTIVE;10;;NO;NO;;;YES;0;;NO;NO;NO;0;YES;0;;;;;;;NO;NO;NO;0;NO;;0;NO;NO;0;NO;;;;;ALL;NO;;;0;UNKOWN;NO;0;;0;Colin;1465185600000;;;;;;;;;;;;;;;;;;;;;0;http://1-dot-static-sentinel-567.appspot.com/web/image/80/470e533a-a5b7-405b-8ddc-f50e9bdaa226.jpg;;;;;;;;NO;;0;0;0;YES;;UNSET_REASON;0;0;0;1470801600000;91;UNSET_REASON;0;UNSET_TYPE;0.0;0.0;0;0;;UNSET_REASON;0;NO;1;6;AM;27.5313112;-82.72834943;;NO;NO;NO;NO;;YES;OPEN_BEACH;0;408 South Bay Blvd;0.0;0.0;0;0;0.0;0.0;0;0;24;0;4;YES;Karen;NO;0;LOGGERHEAD;;NEST_VERIFIED;1464753600000;Large coral boulders as man made seawall ;YES
